2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 << "Connection:close[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-1 << "[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 86: http-outgoing-1 << "{"sessionId":"e5068542330421e2145c94287a5b4b40","status":0,"value":null}"
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 113: http-outgoing-1 << HTTP/1.1 200 OK
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 116: http-outgoing-1 << Content-Length:72
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 116: http-outgoing-1 << Content-Type:application/json; charset=utf-8
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 116: http-outgoing-1 << Connection:close
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.conn.DefaultManagedHttpClientConnection] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 87: http-outgoing-1: Shutdown connection
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 126: Connection discarded
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.conn.DefaultManagedHttpClientConnection] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 79: http-outgoing-1: Close connection
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding implicitlyWait on session e5068542330421e2145c94287a5b4b40 to remote] 287: Connection released: [id: 1][route: {}->http://localhost:28799][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-11-02 16:05:47 DEBUG  [org.apache.http.client.protocol.RequestAddCookies] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 122: CookieSpec selected: best-match
2016-11-02 16:05:47 DEBUG  [org.apache.http.client.protocol.RequestAuthCache] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 75: Auth cache not set in the context
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 219: Connection request: [route: {}->http://localhost:28799][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.conn.PoolingHttpClientConnectionManager] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 250: Connection leased: [id: 2][route: {}->http://localhost:28799][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 217: Opening connection {}->http://localhost:28799
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.conn.HttpClientConnectionOperator] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 122: Connecting to localhost/127.0.0.1:28799
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.conn.HttpClientConnectionOperator] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 129: Connection established 127.0.0.1:6426<->127.0.0.1:28799
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 238: Executing request POST /session/e5068542330421e2145c94287a5b4b40/url HTTP/1.1
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 243: Target auth state: UNCHALLENGED
2016-11-02 16:05:47 DEBUG  [org.apache.http.impl.execchain.MainClientExec] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 249: Proxy auth state: UNCHALLENGED
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 124: http-outgoing-2 >> POST /session/e5068542330421e2145c94287a5b4b40/url HTTP/1.1
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-2 >> Content-Type: application/json; charset=utf-8
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-2 >> Content-Length: 31
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-2 >> Host: localhost:28799
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-2 >> Connection: Keep-Alive
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-2 >> User-Agent: Apache-HttpClient/4.3.6 (java 1.5)
2016-11-02 16:05:47 DEBUG  [org.apache.http.headers] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 127: http-outgoing-2 >> Accept-Encoding: gzip,deflate
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-2 >> "POST /session/e5068542330421e2145c94287a5b4b40/url HTTP/1.1[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-2 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-2 >> "Content-Length: 31[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-2 >> "Host: localhost:28799[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-2 >> "Connection: Keep-Alive[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-2 >> "User-Agent: Apache-HttpClient/4.3.6 (java 1.5)[\r][\n]"
2016-11-02 16:05:47 DEBUG  [org.apache.http.wire] [Forwarding get on session e5068542330421e2145c94287a5b4b40 to remote] 72: http-outgoing-2 >> "Accept-Encoding: gzip,deflate[\r][\n]"
